Title;Authors;File
A Corpus of Annotated Irish Traditional Dance Music Recordings: Design and Benchmark Evaluations;Pierre Beauguitte, Bryan Duggan and John Kelleher;articles/148_Paper.pdf
Adaptive Frequency Neural Networks for Dynamic Pulse and Metre Perception;Andrew Lambert, Tillman Weyde and Newton Armstrong;articles/228_Paper.pdf
An Evaluation Framework and Case Study for Rhythmic Concatenative Synthesis;Cárthach Ó Nuanáin, Perfecto Herrera and Sergi Jordà;articles/180_Paper.pdf
An Ontology for Audio Features;Alo Allik, György Fazekas and Mark Sandler;articles/077_Paper.pdf
Analysis and Classification of Phonation Modes In Singing;Daniel Stoller and Simon Dixon;articles/233_Paper.pdf
Analysis of Vocal Imitations of Pitch Trajectories;Jiajie Dai and Simon Dixon;articles/127_Paper.pdf
Automatic Music Recommendation Systems: Do Demographic, Profiling, and Contextual Features Improve Their Performance?;Gabriel Vigliensoni and Ichiro Fujinaga;articles/044_Paper.pdf
Automatic Outlier Detection in Music Genre Datasets;Yen-Cheng Lu, Chih-Wei Wu, Alexander Lerch and Chang-Tien Lu;articles/215_Paper.pdf
AVA: An Interactive System for Visual and Quantitative Analyses of Vibrato and Portamento Performance Styles;Luwei Yang, Khalid Z. Rajab and Elaine Chew;articles/314_Paper.pdf
Composer Recognition Based on 2D-Filtered Piano-Rolls;Gissel Velarde, Tillman Weyde, Carlos Cancino Chacón, David Meredith and Maarten Grachten;articles/063_Paper.pdf
Conversations with Expert Users in Music Retrieval and Research Challenges for Creative MIR;Kristina Andersen and Peter Knees;articles/246_Paper.pdf
Downbeat Tracking Using Beat Synchronous Features with Recurrent Neural Networks;Florian Krebs, Sebastian Böck, Matthias Dorfer and Gerhard Widmer;articles/249_Paper.pdf
Enhancing Cover Song Identification with Hierarchical Rank Aggregation;Julien Osmalskyj, Marc Van Droogenbroeck and Jean-Jacques Embrechts;articles/064_Paper.pdf
Ensemble: A Hybrid Human-Machine System for Generating Melody Scores from Audio;Tim Tse, Justin Salamon, Alex Williams, Helga Jiang and Edith Law;articles/072_Paper.pdf
Exploring Customer Reviews for Music Genre Classification and Evolutionary Studies;Sergio Oramas, Luis Espinosa-Anke, Aonghus Lawlor, Xavier Serra and Horacio Saggion;articles/240_Paper.pdf
Further Steps Towards a Standard Testbed for Optical Music Recognition;Jan Hajič jr., Jiří Novotný, Pavel Pecina and Jaroslav Pokorný;articles/289_Paper.pdf
Improving Voice Separation by Better Connecting Contigs;Nicolas Guiomard-Kagan, Mathieu Giraud, Richard Groult and Florence Levé;articles/129_Paper.pdf
Integer Programming Formulation of the Problem of Generating Milton Babbitt's All-Partition Arrays;Tsubasa Tanaka, Brian Bemman and David Meredith;articles/034_Paper.pdf
Integration and Quality Assessment of Heterogeneous Chord Sequences Using Data Fusion;Hendrik Vincent Koops, W. Bas de Haas, Dimitrios Bountouridis and Anja Volk;articles/019_Paper.pdf
Landmark-Based Audio Fingerprinting for DJ Mix Monitoring;Reinhard Sonnleitner, Andreas Arzt and Gerhard Widmer;articles/187_Paper.pdf
Learning and Visualizing Music Specifications Using Pattern Graphs;Rafael Valle, Daniel J. Fremont, Ilge Akkaya, Alexandre Donzé, Adrian Freed and Sanjit A. Seshia;articles/280_Paper.pdf
Listen To Me – Don't Listen To Me: What Communities of Critics Tell Us About Music;Ben Fields and Christophe Rhodes;articles/173_Paper.pdf
Long-Term Reverberation Modeling for Under-Determined Audio Source Separation with Application to Vocal Melody Extraction;Romain Hennequin and François Rigaud;articles/196_Paper.pdf
Nonnegative Tensor Factorization with Frequency Modulation Cues for Blind Audio Source Separation;Elliot Creager, Noah Stein, Roland Badeau and Philippe Depalle;articles/103_Paper.pdf
On Drum Playing Technique Detection in Polyphonic Mixtures;Chih-Wei Wu and Alexander Lerch;articles/268_Paper.pdf
Predicting Missing Music Components with Bidirectional Long Short-Term Memory Neural Networks;I-Ting Liu and Richard Randall;articles/097_Paper.pdf
Structural Segmentation and Visualization of Sitar and Sarod Concert Audio;Vinutha T. P., Suryanarayana Sankagiri, Kaustuv Kanti Ganguli and Preeti Rao;articles/151_Paper.pdf
Template-Based Vibrato Analysis in Complex Music Signals;Jonathan Driedger, Stefan Balke, Sebastian Ewert and Meinard Mueller;articles/005_Paper.pdf
Towards Evaluating Multiple Predominant Melody Annotations in Jazz Recordings;Stefan Balke, Jonathan Driedger, Jakob Abesser, Christian Dittmar and Meinard Mueller;articles/049_Paper.pdf
