A Comparison of Melody Extraction Methods Based on Source-Filter Modelling	Juan J. Bosch, Rachel M. Bittner, Justin Salamon and Emilia Gómez	256
An Analysis of Agreement In Classical Music Perception and Its Relationship to Listener Characteristics	Markus Schedl, Hamid Eghbal-Zadeh, Emilia Gómez and Marko Tkalcic	260
An Attack/Decay Model for Piano Transcription	Tian Cheng, Matthias Mauch, Emmanouil Benetos and Simon Dixon	85
Automatic Drum Transcription Using Bi-Directional Recurrent Neural Networks	Carl Southall, Ryan Stables and Jason Hockman	217
Automatic Practice Logging: Introduction, Dataset & Preliminary Study	R. Michael Winters, Siddharth Gururani and Alexander Lerch	181
Data-Driven Exploration of Melodic Structure in Hindustani Music	Kaustuv Kanti Ganguli, Sankalp Gulati, Xavier Serra and Preeti Rao	121
Deep Convolutional Networks on the Pitch Spiral For Music Instrument Recognition	Vincent Lostanlen and Carmine Emanuele Cella	93
DTV-Based Melody Cutting for DTW-Based Melody Search And Indexing In QbH Systems	Bartlomiej Stasiak	89
Elucidating User Behavior in Music Services Through Persona and Gender	John Fuller, Lauren Hubener, Yea-Seul Kim and Jin Ha Lee	205
Exploring the Latent Structure of Collaborations in Music Recordings: A Case Study in Jazz	Nazareno Andrade and Flavio Figueiredo	251
Global Properties of Expert and Algorithmic Hierarchical Music Analyses	Phillip Kirlin	259
Human-Interactive Optical Music Recognition	Liang Chen, Erik Stolterman and Christopher Raphael	106
I Said It First: Topological Analysis of Lyrical Influence Networks	Jack Atherton and Blair Kaneshiro	221
Impact of Music on Decision Making in Quantitative Tasks	Elad Liebman, Peter Stone and Corey White	272
Interactive Scores in Classical Music Production	Simon Waloschek, Axel Berndt, Benjamin W. Bohl and Aristotelis Hadjakos	192
Jazz Ensemble Expressive Performance Modeling	Helena Bantulà, Sergio Giraldo and Rafael Ramírez	162
Mining Musical Traits of Social Functions in Native American Music	Daniel Shanahan, Kerstin Neubarth and Darrell Conklin	167
Mining Online Music Listening Trajectories	Flavio Figueiredo, Bruno Ribeiro, Christos Faloutsos, Nazareno Andrade and Jussara M. Almeida	193
Musical Typicality: How Many Similar Songs Exist?	Tomoyasu Nakano, Daichi Mochihashi, Kazuyoshi Yoshii and Masataka Goto	191
Musicdb: A Platform for Longitudinal Music Analytics	Jeremy Hyrkas and Bill Howe	284
Noise Robust Music Artist Recognition Using I-Vector Features	Hamid Eghbal-zadeh and Gerhard Widmer	37
On The Use Of Note Onsets for Improved Lyrics-To-Audio Alignment in Turkish Makam Music	Georgi Dzhambazov, Ajay Srinivasamurthy, Sertan Sentürk and Xavier Serra	243
Querying XML Score Databases: Xquery is not Enough!	Raphael Fournier-S'niehotta, Philippe Rigaux and Nicolas Travers	136
Recurrent Neural Networks for Drum Transcription	Richard Vogl, Matthias Dorfer and Peter Knees	269
Singing Voice Melody Transcription Using Deep Neural Networks	François Rigaud and Mathieu Radenen	163
Sparse Coding Based Music Genre Classification Using Spectro-Temporal Modulations	Kai-Chun Hsu, Chih-Shan Lin and Tai-Shih Chi	46
Time-Delayed Melody Surfaces for Rāga Recognition	Sankalp Gulati, Joan Serrà, Kaustuv Kanti Ganguli, Sertan Şentürk and Xavier Serra	30
Transcribing Human Piano Performances into Music Notation	Andrea Cogliati, David Temperley and Zhiyao Duan	88
WiMIR: An Informetric Study On Women Authors In ISMIR	Xiao Hu, Kahyun Choi, Jin Ha Lee, Audrey Laplante, Yun Hao, Sally Jo Cunningham and J. Stephen Downie	283
